run,rpm,tare_torque
0,0.572391544117608,0.829163250187637
1,3.8656800000004363,0.8330404520978331
2,7.157871428571463,0.9267889519536664
3,10.450720923912407,0.9059500469195968
4,13.741975271738013,0.8890011715166949
5,17.03186494565194,0.8946711617072837
6,20.323786956520426,0.8949278181737639
7,23.615413858696144,0.8933933051750595
8,26.90731222825943,0.890164118765349
9,30.19792989130341,0.8960173942655892
10,33.489620380433294,0.8963482781938429
11,36.78095951087081,0.8941999606167599
12,40.071887771737174,0.8992178901758617
13,43.36158260869532,0.8964973054261027
14,46.655153804348906,0.9035249473173612
15,49.946041304346195,0.9011582291806122
16,53.23661086956268,0.895070425555949
17,56.52846684782638,0.8973330858749473
18,59.81970081521708,0.9002817768475108
19,63.11049293478118,0.9114897158204561
20,66.40223967390992,0.9065370199885293
21,69.69282798912559,0.9093626647797545
22,72.98504266304681,0.9084643679845611
23,76.27570679347691,0.9159597866249278
24,82.85819836956489,0.9072778700283641
